City,Cloudiness,Country,Date,Max Temp,Wind Speed,Lat,Lng,Humidity
tiksi,0,RU,1564718647,8.69,3.7,71.64,128.87,64
ponta do sol,82,BR,1564718745,17.49,1.55,-20.63,-46.0,51
sistranda,40,NO,1564718745,14.44,2.1,63.73,8.83,93
merauke,34,ID,1564718745,24.89,9.28,-8.49,140.4,78
kapaa,20,US,1564718745,32.0,10.3,22.08,-159.32,69
atuona,23,PF,1564718746,26.49,9.22,-9.8,-139.03,71
mataura,100,NZ,1564718746,7.78,11.18,-46.19,168.86,86
muroto,20,JP,1564718746,31.0,4.6,33.37,134.14,66
sevierville,40,US,1564718746,25.0,0.96,35.87,-83.56,88
jardim,0,BR,1564718746,22.39,1.95,-21.48,-56.15,43
teacapan,100,MX,1564718747,29.49,4.62,22.54,-105.74,73
hirara,40,JP,1564718747,30.0,6.7,24.8,125.28,74
fort frances,1,CA,1564718747,21.11,0.57,48.61,-93.4,100
yenagoa,91,NG,1564718747,23.49,3.21,4.92,6.26,91
ampanihy,3,MG,1564718748,18.59,1.26,-24.69,44.75,76
huarmey,34,PE,1564718748,15.99,6.3,-10.07,-78.15,87
bredasdorp,7,ZA,1564718749,13.0,1.5,-34.53,20.04,93
luganville,75,VU,1564718749,26.0,3.6,-15.51,167.18,69
kokstad,0,ZA,1564718749,5.19,2.81,-30.55,29.42,37
katsuura,20,JP,1564718749,33.0,2.6,33.93,134.5,63
butaritari,22,KI,1564718750,29.59,3.94,3.07,172.79,65
puerto ayora,77,EC,1564718750,20.0,2.68,-0.74,-90.35,93
geraldton,40,CA,1564718750,19.0,2.1,49.72,-86.95,77
rikitea,100,PF,1564718750,19.99,7.49,-23.12,-134.97,69
saint-georges,13,CA,1564718478,17.78,1.72,46.12,-70.67,100
lompoc,90,US,1564718703,19.44,4.1,34.64,-120.46,87
poum,0,MK,1564718751,16.0,2.1,41.28,20.71,87
kirakira,29,SB,1564718751,28.29,6.23,-10.46,161.92,75
busselton,100,AU,1564718751,20.0,10.32,-33.64,115.35,34
birao,100,CF,1564718751,21.59,0.33,10.3,22.78,94
thompson,90,CA,1564718751,18.0,2.64,55.74,-97.86,82
yellowknife,75,CA,1564718731,21.0,2.1,62.45,-114.38,37
lagoa,0,PT,1564718752,21.0,2.1,37.14,-8.45,52
cabedelo,75,BR,1564718752,23.0,3.1,-6.97,-34.84,100
vallenar,0,CL,1564718752,7.69,1.1,-28.58,-70.76,53
jalu,0,LY,1564718752,24.49,2.76,29.03,21.55,74
ushuaia,20,AR,1564718753,1.0,4.1,-54.81,-68.31,80
san patricio,100,PY,1564718753,11.89,5.45,-26.98,-56.83,74
parrita,75,CR,1564718753,22.78,1.0,9.52,-84.33,88
norman wells,40,CA,1564718753,24.0,2.6,65.28,-126.83,38
dubrovka,0,RU,1564718754,12.22,3.0,59.85,30.93,87
cabatuan,99,PH,1564718754,27.09,1.79,16.95,121.67,81
vila velha,40,BR,1564718754,30.0,6.2,-3.71,-38.6,74
arraial do cabo,0,BR,1564718754,19.49,6.62,-22.97,-42.02,90
uvat,100,RU,1564718754,18.79,4.01,59.14,68.9,92
barrow,39,AR,1564718755,7.49,9.2,-38.31,-60.23,67
blomberg,40,DE,1564718755,17.0,1.5,51.94,9.09,87
punta arenas,75,CL,1564718755,2.0,12.9,-53.16,-70.91,93
ilulissat,0,GL,1564718755,14.0,6.7,69.22,-51.1,33
